
('Total Revenue', '254,190,000.00', '245,122,000.00', '211,915,000.00', '198,270,000.00', '168,088,000.00')
         742932 function calls (722320 primitive calls) in 4.156 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.081    0.081 connectionpool.py:1(<module>)
        1    0.000    0.000    0.075    0.075 _request_methods.py:1(<module>)
     2653    0.005    0.000    0.073    0.000 __init__.py:763(handle_endtag)
        1    0.000    0.000    0.071    0.071 client.py:1(<module>)
      159    0.007    0.000    0.069    0.000 <frozen importlib._bootstrap_external>:751(_compile_bytecode)
        1    0.065    0.065    0.065    0.065 {method 'load_verify_locations' of '_ssl._SSLContext' objects}
        3    0.000    0.000    0.063    0.021 element.py:2013(find_all)
        3    0.005    0.002    0.063    0.021 element.py:792(_find_all)
        1    0.000    0.000    0.062    0.062 _base_connection.py:1(<module>)
      159    0.061    0.000    0.061    0.000 {built-in method marshal.loads}
        3    0.000    0.000    0.061    0.020 response.py:1(<module>)
        2    0.000    0.000    0.059    0.029 connection.py:1(<module>)
    24494    0.058    0.000    0.058    0.000 {method 'match' of 're.Pattern' objects}
       14    0.000    0.000    0.058    0.004 css_parser.py:1135(process_selectors)
    52/14    0.004    0.000    0.058    0.004 css_parser.py:911(parse_selectors)
     2655    0.015    0.000    0.057    0.000 element.py:1199(__init__)
        1    0.000    0.000    0.054    0.054 compat.py:1(<module>)
      159    0.001    0.000    0.053    0.000 <frozen importlib._bootstrap_external>:1183(get_data)
     5367    0.007    0.000    0.052    0.000 element.py:2303(search)
        1    0.000    0.000    0.048    0.048 ssl_.py:1(<module>)
        2    0.000    0.000    0.048    0.024 parser.py:1(<module>)
      209    0.004    0.000    0.047    0.000 <frozen importlib._bootstrap>:1240(_find_spec)
    42/30    0.000    0.000    0.043    0.001 css_parser.py:569(parse_pseudo_class)
    38/29    0.000    0.000    0.043    0.001 css_parser.py:732(parse_pseudo_open)
        1    0.000    0.000    0.043    0.043 css_parser.py:316(__init__)
      191    0.000    0.000    0.040    0.000 <frozen importlib._bootstrap_external>:1520(find_spec)
      191    0.002    0.000    0.040    0.000 <frozen importlib._bootstrap_external>:1491(_get_spec)
        3    0.000    0.000    0.040    0.013 utils.py:1(<module>)
     2679    0.006    0.000    0.040    0.000 element.py:943(__new__)
     2671    0.007    0.000    0.040    0.000 element.py:2240(search_tag)
        1    0.000    0.000    0.038    0.038 feedparser.py:1(<module>)
        1    0.000    0.000    0.038    0.038 url.py:1(<module>)
       44    0.000    0.000    0.037    0.001 response.py:465(_decode)
    23196    0.029    0.000    0.037    0.000 _parser.py:168(__getitem__)
       43    0.007    0.000    0.036    0.001 response.py:121(decompress)
3356/3330    0.029    0.000    0.036    0.000 {built-in method __new__ of type object at 0xa43b40}
        1    0.000    0.000    0.035    0.035 _policybase.py:1(<module>)
     2539    0.021    0.000    0.035    0.000 __init__.py:295(_replace_cdata_list_attribute_values)
      404    0.008    0.000    0.034    0.000 <frozen importlib._bootstrap_external>:1593(find_spec)
81722/81714    0.028    0.000    0.033    0.000 {built-in method builtins.isinstance}
       42    0.029    0.001    0.029    0.001 {method 'decompress' of 'zlib.Decompress' objects}
4102/1450    0.012    0.000    0.028    0.000 element.py:2336(_matches)
      895    0.020    0.000    0.028    0.000 _compiler.py:243(_optimize_charset)
  186/182    0.001    0.000    0.026    0.000 <frozen importlib._bootstrap>:806(module_from_spec)
        1    0.000    0.000    0.025    0.025 compat.py:18(_resolve_char_detection)
        3    0.000    0.000    0.025    0.008 __init__.py:73(import_module)
        3    0.000    0.000    0.025    0.008 <frozen importlib._bootstrap>:1375(_gcd_import)
     5711    0.003    0.000    0.023    0.000 {built-in method builtins.next}
     8013    0.022    0.000    0.022    0.000 element.py:156(setup)
        1    0.000    0.000    0.022    0.022 ssl.py:1(<module>)
     2653    0.011    0.000    0.021    0.000 __init__.py:688(_popToTag)
     2654    0.005    0.000    0.021    0.000 parser.py:345(check_for_whole_start_tag)
        1    0.000    0.000    0.021    0.021 cookiejar.py:1(<module>)
    10631    0.020    0.000    0.020    0.000 {method 'search' of 're.Pattern' objects}
     2679    0.008    0.000    0.020    0.000 __init__.py:620(object_was_parsed)
    71047    0.020    0.000    0.020    0.000 {method 'append' of 'list' objects}
56157/51412    0.016    0.000    0.020    0.000 {built-in method builtins.len}
    10597    0.009    0.000    0.020    0.000 _markupbase.py:44(updatepos)
        1    0.000    0.000    0.019    0.019 cd.py:1(<module>)
    14843    0.013    0.000    0.018    0.000 _parser.py:261(get)
      325    0.003    0.000    0.018    0.000 css_parser.py:1094(selector_iter)
        1    0.000    0.000    0.017    0.017 css_match.py:1(<module>)
      9/7    0.000    0.000    0.017    0.002 <frozen importlib._bootstrap_external>:1287(create_module)
      834    0.001    0.000    0.017    0.000 <frozen importlib._bootstrap_external>:140(_path_stat)
      9/7    0.013    0.001    0.017    0.002 {built-in method _imp.create_dynamic}
      839    0.016    0.000    0.016    0.000 {built-in method posix.stat}
     5729    0.003    0.000    0.016    0.000 __init__.py:122(unescape)
  136/131    0.003    0.000    0.016    0.000 css_parser.py:385(freeze)
 3979/370    0.009    0.000    0.016    0.000 _parser.py:178(getwidth)
      191    0.002    0.000    0.015    0.000 _compiler.py:511(_compile_info)
    13805    0.015    0.000    0.015    0.000 {method 'group' of 're.Match' objects}
      723    0.006    0.000    0.014    0.000 {method 'sub' of 're.Pattern' objects}
        1    0.001    0.001    0.014    0.014 packages.py:1(<module>)
      472    0.010    0.000    0.013    0.000 css_types.py:41(__init__)
        2    0.000    0.000    0.013    0.006 abc.py:1(<module>)
       77    0.001    0.000    0.012    0.000 css_parser.py:462(parse_attribute_selector)
      174    0.000    0.000    0.012    0.000 _parser.py:98(closegroup)
  172/163    0.001    0.000    0.012    0.000 typing.py:392(inner)
    22052    0.012    0.000    0.012    0.000 _parser.py:240(__next)
     2655    0.009    0.000    0.011    0.000 __init__.py:572(pushTag)
      159    0.011    0.000    0.011    0.000 {built-in method _io.open_code}
     2481    0.001    0.000    0.011    0.000 css_parser.py:307(match)
        1    0.000    0.000    0.011    0.011 css_types.py:1(<module>)
        1    0.000    0.000    0.011    0.011 _htmlparser.py:1(<module>)
      211    0.000    0.000    0.010    0.000 <frozen importlib._bootstrap>:416(__enter__)
    11424    0.005    0.000    0.010    0.000 _parser.py:256(match)
     7875    0.010    0.000    0.010    0.000 {method 'count' of 'str' objects}
        2    0.000    0.000    0.010    0.005 core.py:1(<module>)
        1    0.000    0.000    0.010    0.010 parse.py:1(<module>)
    19602    0.009    0.000    0.009    0.000 {method 'get' of 'dict' objects}
        1    0.000    0.000    0.009    0.009 socket.py:1(<module>)
       16    0.004    0.000    0.009    0.001 enum.py:1708(convert_class)
       22    0.000    0.000    0.009    0.000 enum.py:528(__new__)
       10    0.001    0.000    0.009    0.001 enum.py:919(_convert_)
        1    0.000    0.000    0.008    0.008 pretty.py:1(<module>)
     1935    0.006    0.000    0.008    0.000 __init__.py:91(_replace_charref)
      253    0.003    0.000    0.008    0.000 <frozen importlib._bootstrap>:304(acquire)
      136    0.001    0.000    0.008    0.000 css_types.py:203(__init__)
     2654    0.007    0.000    0.008    0.000 __init__.py:558(popTag)
        1    0.000    0.000    0.008    0.008 shutil.py:1(<module>)
    14439    0.008    0.000    0.008    0.000 {method 'lower' of 'str' objects}
        9    0.000    0.000    0.008    0.001 <frozen importlib._bootstrap_external>:1295(exec_module)
        1    0.000    0.000    0.008    0.008 _common.py:1(<module>)
        2    0.000    0.000    0.008    0.004 client.py:231(_parse_header_lines)
     2171    0.008    0.000    0.008    0.000 {method 'findall' of 're.Pattern' objects}
      382    0.004    0.000    0.007    0.000 enum.py:1562(__and__)
        2    0.005    0.002    0.007    0.004 parser.py:56(parsestr)
      251    0.001    0.000    0.007    0.000 <frozen importlib._bootstrap_external>:150(_path_is_mode_type)
      231    0.000    0.000    0.007    0.000 <frozen importlib._bootstrap_external>:159(_path_isfile)
        9    0.007    0.001    0.007    0.001 {built-in method _imp.exec_dynamic}
     2164    0.004    0.000    0.007    0.000 <frozen importlib._bootstrap_external>:126(_path_join)
        2    0.000    0.000    0.007    0.003 request.py:1(<module>)
    12961    0.007    0.000    0.007    0.000 {method 'startswith' of 'str' objects}
     9495    0.005    0.000    0.007    0.000 _parser.py:164(__len__)
       24    0.001    0.000    0.007    0.000 enum.py:254(__set_name__)
      186    0.001    0.000    0.007    0.000 <frozen importlib._bootstrap>:733(_init_module_attrs)
        1    0.000    0.000    0.006    0.006 _parseaddr.py:1(<module>)
        1    0.000    0.000    0.006    0.006 ssl_.py:223(create_urllib3_context)
        1    0.000    0.000    0.006    0.006 header.py:1(<module>)
       85    0.001    0.000    0.006    0.000 typing.py:1242(__init__)
      318    0.002    0.000    0.006    0.000 <frozen importlib._bootstrap_external>:482(cache_from_source)
    13724    0.006    0.000    0.006    0.000 {built-in method builtins.hasattr}
