URL does not exist
         394396 function calls (376828 primitive calls) in 2.525 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      514    0.013    0.000    0.054    0.000 <frozen importlib._bootstrap_external>:1593(find_spec)
        1    0.001    0.001    0.054    0.054 ssl.py:1(<module>)
        1    0.000    0.000    0.050    0.050 feedparser.py:1(<module>)
        4    0.000    0.000    0.049    0.012 anyio.py:55(start_tls)
        4    0.004    0.001    0.048    0.012 tls.py:78(wrap)
        1    0.000    0.000    0.047    0.047 css_parser.py:316(__init__)
        1    0.000    0.000    0.047    0.047 _policybase.py:1(<module>)
        2    0.000    0.000    0.047    0.023 utils.py:1(<module>)
 1067/946    0.037    0.000    0.046    0.000 {built-in method __new__ of type object at 0xa43b40}
       16    0.001    0.000    0.040    0.002 tls.py:135(_call_sslobject_method)
      229    0.014    0.000    0.040    0.000 typing.py:1242(__init__)
       27    0.000    0.000    0.039    0.001 dataclasses.py:1257(wrap)
       27    0.002    0.000    0.038    0.001 dataclasses.py:921(_process_class)
        1    0.000    0.000    0.036    0.036 _fileio.py:1(<module>)
        1    0.000    0.000    0.035    0.035 _readers.py:1(<module>)
        1    0.000    0.000    0.034    0.034 to_thread.py:1(<module>)
        1    0.000    0.000    0.034    0.034 _content.py:1(<module>)
        2    0.000    0.000    0.033    0.017 readers.py:1(<module>)
        1    0.000    0.000    0.033    0.033 _multipart.py:1(<module>)
       14    0.000    0.000    0.031    0.002 css_parser.py:1135(process_selectors)
    52/14    0.002    0.000    0.031    0.002 css_parser.py:911(parse_selectors)
      295    0.001    0.000    0.031    0.000 <frozen importlib._bootstrap>:416(__enter__)
        2    0.000    0.000    0.030    0.015 ssl.py:915(do_handshake)
        2    0.030    0.015    0.030    0.015 {method 'do_handshake' of '_ssl._SSLSocket' objects}
        1    0.001    0.001    0.030    0.030 _status_codes.py:1(<module>)
      442    0.005    0.000    0.029    0.000 <frozen importlib._bootstrap>:304(acquire)
   101/77    0.000    0.000    0.028    0.000 typing.py:508(__getitem__)
       77    0.002    0.000    0.027    0.000 typing.py:687(Union)
        1    0.000    0.000    0.027    0.027 hashlib.py:1(<module>)
        1    0.000    0.000    0.027    0.027 ssl.py:430(__new__)
     1150    0.002    0.000    0.027    0.000 <frozen importlib._bootstrap_external>:140(_path_stat)
        1    0.000    0.000    0.026    0.026 api.py:1(<module>)
       95    0.002    0.000    0.025    0.000 dataclasses.py:449(_create_fn)
     1150    0.025    0.000    0.025    0.000 {built-in method posix.stat}
     1615    0.003    0.000    0.024    0.000 {built-in method builtins.setattr}
        1    0.000    0.000    0.024    0.024 cd.py:1(<module>)
    42/30    0.000    0.000    0.024    0.001 css_parser.py:569(parse_pseudo_class)
        1    0.000    0.000    0.023    0.023 bz2.py:1(<module>)
    38/29    0.000    0.000    0.023    0.001 css_parser.py:732(parse_pseudo_open)
        1    0.000    0.000    0.023    0.023 parse.py:1(<module>)
       19    0.010    0.001    0.022    0.001 enum.py:1708(convert_class)
      570    0.021    0.000    0.022    0.000 enum.py:850(__setattr__)
